"Advanced Program Information"
4/3/2023

Year,Level,Division,"Enrollment Type",Count,Percent
"2021 - 2022",DIV,"King William County Public Schools","Governors School enrollment",17,2.5
"2021 - 2022",DIV,"King and Queen County Public Schools","Advanced Placement Test Taken Preliminary Results",5,2.91
"2021 - 2022",DIV,"King and Queen County Public Schools","Advanced Placement course enrollment",14,8.14
"2021 - 2022",DIV,"King and Queen County Public Schools","Dual Enrollment enrollment",8,4.65
"2021 - 2022",DIV,"King and Queen County Public Schools","Governors School enrollment",11,6.4
"2021 - 2022",DIV,"Lancaster County Public Schools","Dual Enrollment enrollment",59,16.67
"2021 - 2022",DIV,"Lancaster County Public Schools","Governors School enrollment",14,3.95
"2021 - 2022",DIV,"Lee County Public Schools","Dual Enrollment enrollment",174,20.28
"2021 - 2022",DIV,"Lexington City Public Schools","Dual Enrollment enrollment",0,0
"2021 - 2022",DIV,"Loudoun County Public Schools","Advanced Placement Test Taken Preliminary Results",8303,30.8
"2021 - 2022",DIV,"Loudoun County Public Schools","Advanced Placement course enrollment",11000,40.8
"2021 - 2022",DIV,"Loudoun County Public Schools","Dual Enrollment enrollment",5689,21.1
"2021 - 2022",DIV,"Louisa County Public Schools","Advanced Placement Test Taken Preliminary Results",73,4.45
"2021 - 2022",DIV,"Louisa County Public Schools","Advanced Placement course enrollment",89,5.42
"2021 - 2022",DIV,"Louisa County Public Schools","Dual Enrollment enrollment",236,14.37
"2021 - 2022",DIV,"Louisa County Public Schools","Governors School enrollment",97,5.91
"2021 - 2022",DIV,"Lunenburg County Public Schools","Dual Enrollment enrollment",57,11.59
"2021 - 2022",DIV,"Lunenburg County Public Schools","Governors School enrollment",17,3.46
"2021 - 2022",DIV,"Lynchburg City Public Schools","Advanced Placement Test Taken Preliminary Results",127,5.24
"2021 - 2022",DIV,"Lynchburg City Public Schools","Advanced Placement course enrollment",127,5.24
"2021 - 2022",DIV,"Lynchburg City Public Schools","Dual Enrollment enrollment",136,5.61
"2021 - 2022",DIV,"Lynchburg City Public Schools","Governors School enrollment",48,1.98
"2021 - 2022",DIV,"Madison County Public Schools","Advanced Placement Test Taken Preliminary Results",56,10.07
"2021 - 2022",DIV,"Madison County Public Schools","Advanced Placement course enrollment",59,10.61
"2021 - 2022",DIV,"Madison County Public Schools","Dual Enrollment enrollment",78,14.03
"2021 - 2022",DIV,"Madison County Public Schools","Governors School enrollment",65,11.69
"2021 - 2022",DIV,"Manassas City Public Schools","Advanced Placement Test Taken Preliminary Results",244,10.76
"2021 - 2022",DIV,"Manassas City Public Schools","Advanced Placement course enrollment",243,10.71
"2021 - 2022",DIV,"Manassas City Public Schools","Dual Enrollment enrollment",188,8.29
"2021 - 2022",DIV,"Manassas City Public Schools","Governors School enrollment",17,.75
"2021 - 2022",DIV,"Manassas Park City Public Schools","Advanced Placement Test Taken Preliminary Results",131,11.68
"2021 - 2022",DIV,"Manassas Park City Public Schools","Advanced Placement course enrollment",203,18.09
"2021 - 2022",DIV,"Manassas Park City Public Schools","Dual Enrollment enrollment",47,4.19
"2021 - 2022",DIV,"Martinsville City Public Schools","Advanced Placement course enrollment",41,7.37
"2021 - 2022",DIV,"Martinsville City Public Schools","Dual Enrollment enrollment",94,16.91
"2021 - 2022",DIV,"Martinsville City Public Schools","Governors School enrollment",23,4.14
"2021 - 2022",DIV,"Mathews County Public Schools","Advanced Placement Test Taken Preliminary Results",17,5.8
"2021 - 2022",DIV,"Mathews County Public Schools","Advanced Placement course enrollment",20,6.83
"2021 - 2022",DIV,"Mathews County Public Schools","Dual Enrollment enrollment",44,15.02
"2021 - 2022",DIV,"Mathews County Public Schools","Governors School enrollment",15,5.12
"2021 - 2022",DIV,"Mecklenburg County Public Schools","Dual Enrollment enrollment",210,12.49
"2021 - 2022",DIV,"Middlesex County Public Schools","Advanced Placement Test Taken Preliminary Results",9,2.69
"2021 - 2022",DIV,"Middlesex County Public Schools","Advanced Placement course enrollment",20,5.97
