"Per Pupil Spending"
4/3/2023

Year,"Level Code",Division,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2020 - 2021",DIV,"Manassas Park City Public Schools",3499.54,269,8883,9152,393,2764,3157,12309,2241493,43075986,662,11647
"2020 - 2021",DIV,"Martinsville City Public Schools",1876.78,1096,7813,8908,892,3655,4547,13455,1938375,25252846,1988,11468
"2020 - 2021",DIV,"Mathews County Public Schools",896.16,477,10779,11256,84,4764,4849,16105,1546580,14432248,561,15543
"2020 - 2021",DIV,"Mecklenburg County Public Schools",4024.11,691,7452,8143,266,3721,3987,12130,71110802,48813659,957,11173
"2020 - 2021",DIV,"Middlesex County Public Schools",1159.54,573,8402,8974,437,3981,4419,13393,4625433,15529765,1010,12383
"2020 - 2021",DIV,"Montgomery County Public Schools",9671.05,376,8269,8646,486,3618,4104,12750,9102439,123305351,862,11887
"2020 - 2021",DIV,"Nelson County Public Schools",1564.81,578,11319,11897,193,3315,3507,15404,2519956,24104914,771,14634
"2020 - 2021",DIV,"New Kent County Public Schools",3021.83,335,7198,7533,188,3365,3553,11086,2020281,33500168,523,10563
"2020 - 2021",DIV,"Newport News City Public Schools",26835.52,710,7800,8511,426,3052,3478,11989,50164689,321722025,1136,10852
"2020 - 2021",DIV,"Norfolk City Public Schools",27552.44,745,7975,8720,586,3296,3881,12601,35781269,347188213,1331,11271
"2020 - 2021",DIV,"Northampton County Public Schools",1388.44,920,8029,8949,451,4674,5125,14074,5576536,19541557,1371,12703
"2020 - 2021",DIV,"Northumberland County Public Schools",1214.31,634,8379,9013,261,4803,5064,14077,1926453,17093548,895,13182
"2020 - 2021",DIV,"Norton City Public Schools",847.33,247,8030,8278,0,1687,1687,9965,2370802,8443711,247,9717
"2020 - 2021",DIV,"Nottoway County Public Schools",1850.05,370,7351,7721,939,3530,4469,12190,1853874,22551627,1309,10881
"2020 - 2021",DIV,"Orange County Public Schools",4856.52,432,6570,7002,751,3543,4294,11296,7394123,54858839,1183,10113
"2020 - 2021",DIV,"Page County Public Schools",3203.58,0,7055,7055,818,3216,4035,11089,6358556,35525677,818,10271
"2020 - 2021",DIV,"Patrick County Public Schools",2501.16,694,6469,7163,196,3142,3339,10502,2417116,26266370,890,9611
"2020 - 2021",DIV,"Petersburg City Public Schools",3950.76,1420,7396,8817,1371,3860,5231,14048,3474676,55498906,2791,11256
"2020 - 2021",DIV,"Pittsylvania County Public Schools",8102.78,584,7218,7802,206,2989,3195,10998,8236585,89111468,790,10207
"2020 - 2021",DIV,"Poquoson City Public Schools",2072.16,383,7524,7907,321,2738,3059,10966,1909778,22722850,704,10262
"2020 - 2021",DIV,"Portsmouth City Public Schools",13255.48,548,8384,8932,799,2966,3765,12697,14433752,168302128,1347,11350
"2020 - 2021",DIV,"Powhatan County Public Schools",4147.06,387,7635,8022,41,3696,3736,11759,1876653,48763272,428,11331
"2020 - 2021",DIV,"Prince Edward County Public Schools",1925.54,1358,7304,8662,516,3198,3714,12377,2588702,23831618,1874,10502
"2020 - 2021",DIV,"Prince George County Public Schools",6041.83,648,7345,7992,570,2524,3093,11085,7117166,66976171,1218,9869
"2020 - 2021",DIV,"Prince William County Public Schools",89117.99,258,8139,8397,733,3682,4415,12812,257547653,1141803605,991,11821
"2020 - 2021",DIV,"Pulaski County Public Schools",4001.62,537,7102,7638,628,3094,3723,11361,5264701,45462395,1165,10196
"2020 - 2021",DIV,"Radford City Public Schools",2239.26,432,10921,11354,138,1261,1400,12754,1799315,28558752,570,12182
"2020 - 2021",DIV,"Rappahannock County Public Schools",768.41,493,11681,12173,705,4234,4939,17113,1115171,13149567,1198,15915
"2020 - 2021",DIV,"Richmond City Public Schools",27142.74,427,7239,7666,1738,4493,6232,13898,43366930,377228126,2165,11732
"2020 - 2021",DIV,"Richmond County Public Schools",1301.84,703,6588,7292,192,3292,3485,10776,2594960,14029252,895,9880
"2020 - 2021",DIV,"Roanoke City Public Schools",13696.23,946,8428,9374,414,3405,3820,13194,33668262,180702204,1360,11833
"2020 - 2021",DIV,"Roanoke County Public Schools",13582.47,318,8058,8375,347,2762,3109,11485,25780366,155988694,665,10820
"2020 - 2021",DIV,"Rockbridge County Public Schools",2652.2,647,7889,8535,386,3587,3973,12508,6976524,33173692,1033,11476
"2020 - 2021",DIV,"Rockingham County Public Schools",11303.47,408,7458,7867,63,4096,4159,12026,13106467,135934256,471,11554
"2020 - 2021",DIV,"Russell County Public Schools",3538.65,969,6653,7623,549,3594,4143,11765,7109297,41633740,1518,10247
"2020 - 2021",DIV,"Salem City Public Schools",3804.3,494,7808,8303,173,3201,3374,11676,18354662,44420699,667,11009
"2020 - 2021",DIV,"Scott County Public Schools",3523.51,959,8301,9260,25,1368,1392,10652,5999087,37532025,984,9669
"2020 - 2021",DIV,"Shenandoah County Public Schools",5738.17,305,8235,8540,197,3311,3509,12049,4638071,69138682,502,11546
"2020 - 2021",DIV,"Smyth County Public Schools",4110.36,1070,7539,8609,202,2451,2653,11263,7873978,46293078,1272,9990
"2020 - 2021",DIV,"Southampton County Public Schools",2588.37,548,6850,7398,907,4273,5180,12578,7397325,32557619,1455,11123
"2020 - 2021",DIV,"Spotsylvania County Public Schools",22891.57,290,7340,7630,463,3920,4382,12012,51414197,274983864,753,11260
"2020 - 2021",DIV,"Stafford County Public Schools",29223.34,377,7667,8044,241,3214,3455,11499,29887387,336031762,618,10881
"2020 - 2021",DIV,"Staunton City Public Schools",2546.45,769,7336,8105,458,3910,4367,12472,19092326,31759925,1227,11246
"2020 - 2021",DIV,"Suffolk City Public Schools",13718.62,561,7684,8245,235,3135,3369,11615,37674616,159335473,796,10819
"2020 - 2021",DIV,"Surry County Public Schools",653.98,1293,14609,15902,307,6745,7052,22953,1132261,15011030,1600,21354
"2020 - 2021",DIV,"Sussex County Public Schools",1022.97,293,2440,2733,1183,14104,15287,18020,1682172,18433984,1476,16544
"2020 - 2021",DIV,"Tazewell County Public Schools",5418.51,707,6887,7594,750,2096,2846,10441,6511086,56572369,1457,8983
